max_depth,min_sample_split,criterion,splitter,mae,mse,rmse,r2,explained_variance,medae,max_err
10,3,poisson,best,1.06912227398574,4.8757791136681,2.20811664403584,0.304713555436157,0.304714221722021,0.102730819245774,10
10,5,poisson,best,1.06912283336357,4.87525999320722,2.20799909266449,0.304787582050393,0.304788249663182,0.102730819245774,10
10,10,poisson,best,1.06918877300381,4.87474470269176,2.20788240236924,0.304861062514142,0.304861773466968,0.102730819245774,10
10,3,squared_error,best,1.07511601574939,4.90082962447853,2.2137817472548,0.301141350832575,0.301141772132469,0.165973318031846,10
10,3,friedman_mse,best,1.07516674703427,4.90130760102665,2.21388969938131,0.301073191343193,0.301073600141525,0.165973318031846,10
10,5,friedman_mse,best,1.07517162670324,4.90084736594883,2.21378575430163,0.301138820897662,0.301139229878818,0.165973318031846,10
10,5,squared_error,best,1.07519427913784,4.90105704729652,2.21383311188909,0.301108920322734,0.301109316941509,0.165973318031846,10
10,10,squared_error,best,1.07522625529654,4.89987963038091,2.21356717322536,0.301276820057716,0.301277340326269,0.165973318031846,10
10,10,friedman_mse,best,1.07525818462731,4.90019489732184,2.21363838449776,0.301231862969765,0.301232365989936,0.165973318031846,10
10,10,squared_error,random,1.2604522109254,5.69859586077575,2.38717319454952,0.187379829422947,0.187379860130441,0.326616212273183,10
10,5,squared_error,random,1.2573196021293,5.67187790701424,2.38157047072184,0.191189811508637,0.191189830375617,0.353481739681534,10
10,5,friedman_mse,random,1.30319954533974,5.8736727497319,2.42356612241793,0.162413852743162,0.162414278660485,0.358790443838058,10
10,10,friedman_mse,random,1.24832514151512,5.6487669409163,2.37671347472014,0.194485436899794,0.194485819009752,0.362768192525625,10
10,5,poisson,random,1.22263106944963,5.52802803242875,2.35117588292087,0.211702813742706,0.211703758067036,0.393332894419207,10
10,10,poisson,random,1.26204901641459,5.69234732734848,2.38586406304896,0.188270870729187,0.188272437385295,0.421676375218801,10
10,3,squared_error,random,1.2876055281126,5.80129261643872,2.4085872656889,0.172735264841876,0.17273536703475,0.436180657830142,10
3,5,poisson,random,1.43738755632877,6.45154628762391,2.53998942667561,0.0800090455930285,0.0800092467448088,0.447705770027995,9.82634311963252
5,10,friedman_mse,random,1.39002860491828,6.25238575472635,2.50047710541935,0.108409351592865,0.108409461302627,0.452382840377448,9.96300017731544
5,10,squared_error,random,1.39064868430797,6.26300651980328,2.50259995201056,0.106894829745846,0.1068948671191,0.453235247587407,9.93541336353341
5,3,squared_error,random,1.38342399934695,6.20893098476336,2.4917726591251,0.114606004846128,0.114606134224971,0.477637565841085,10
5,5,squared_error,random,1.4236831796804,6.3860903434039,2.52707149550698,0.0893430678428726,0.0893430863524092,0.50291561536305,9.99461202324891
5,3,poisson,random,1.39762759669412,6.29190086219413,2.5083661738658,0.102774494488528,0.102774585997728,0.521340327483087,9.98416520048153
3,10,poisson,random,1.44436899223879,6.48135491108643,2.5458505280331,0.0757583337905806,0.0757586193498065,0.532323926803877,9.81610724160862
3,5,friedman_mse,random,1.43765020653161,6.44467826401558,2.53863708789098,0.0809884262426626,0.0809885076017759,0.542763787685966,9.86186619624195
10,3,friedman_mse,random,1.28486529242228,5.78724449924242,2.40566924144663,0.174738527342191,0.174738748837614,0.554884126588587,10
10,3,poisson,random,1.26662859884885,5.68738761241062,2.3848244405848,0.188978126428186,0.188978149423587,0.561103927950421,10
3,3,squared_error,random,1.43991691493878,6.45266292021694,2.54020922764581,0.0798498137067208,0.0798498293415831,0.569246566551149,9.89948086319218
5,3,poisson,best,1.21951099201562,5.53281518623994,2.35219369658197,0.211020165272509,0.211020440024036,0.57864255950279,9.99735736501661
5,5,poisson,best,1.21951099201562,5.53281518623994,2.35219369658197,0.211020165272509,0.211020440024036,0.57864255950279,9.99735736501661
5,10,poisson,best,1.21951099201562,5.53281518623994,2.35219369658197,0.211020165272509,0.211020440024036,0.57864255950279,9.99735736501661
5,3,squared_error,best,1.22061537631466,5.5328703081153,2.35220541367358,0.211012304889207,0.211013134311766,0.57864255950279,9.99735736501661
5,3,friedman_mse,best,1.22061537631466,5.5328703081153,2.35220541367358,0.211012304889207,0.211013134311766,0.57864255950279,9.99735736501661
5,5,squared_error,best,1.22061537631466,5.5328703081153,2.35220541367358,0.211012304889207,0.211013134311766,0.57864255950279,9.99735736501661
5,5,friedman_mse,best,1.22061537631466,5.5328703081153,2.35220541367358,0.211012304889207,0.211013134311766,0.57864255950279,9.99735736501661
5,10,squared_error,best,1.22061537631466,5.5328703081153,2.35220541367358,0.211012304889207,0.211013134311766,0.57864255950279,9.99735736501661
5,10,friedman_mse,best,1.22061537631466,5.5328703081153,2.35220541367358,0.211012304889207,0.211013134311766,0.57864255950279,9.99735736501661
3,5,squared_error,random,1.43944684191108,6.45310612135471,2.54029646328036,0.079786613193301,0.07978674484738,0.582798792934198,9.84057826718971
3,10,squared_error,random,1.45200972040714,6.51241369245864,2.55194312092935,0.0713293493822776,0.0713295336090157,0.594812027187896,9.8478058622429
5,10,poisson,random,1.41332056267628,6.348372553891,2.51959769683396,0.0947216272804226,0.0947217512578884,0.616550929219911,9.96797225622195
5,5,poisson,random,1.39328957772354,6.26038328496202,2.50207579520726,0.107268903218724,0.107269216501366,0.658344919301215,9.98987854251012
3,10,friedman_mse,random,1.44790162987725,6.49243838891282,2.54802637131424,0.0741778290729429,0.0741779131222716,0.693852314215051,9.87759673239932
3,3,poisson,random,1.45681694771467,6.54204286272344,2.55774175059239,0.0671042276184466,0.0671043886256615,0.705991256357755,9.89145040813184
5,5,friedman_mse,random,1.40857111858666,6.31959081158039,2.51387963347102,0.098825905758379,0.098825950711676,0.742169405536561,9.97954937087492
5,3,friedman_mse,random,1.40809626517869,6.32910843974969,2.51577193714965,0.0974686913119822,0.0974687174592647,0.764989510963263,9.96095118898623
3,3,friedman_mse,random,1.42881530393936,6.41075538317301,2.53194695504724,0.0858258314368964,0.085825849285709,0.774885644441128,9.8634652245345
3,3,poisson,best,1.36767035142049,6.16092973429723,2.48212202244314,0.121450986538933,0.121451065114956,0.901511528222714,9.96342233175599
3,5,poisson,best,1.36767035142049,6.16092973429723,2.48212202244314,0.121450986538933,0.121451065114956,0.901511528222714,9.96342233175599
3,10,poisson,best,1.36767035142049,6.16092973429723,2.48212202244314,0.121450986538933,0.121451065114956,0.901511528222714,9.96342233175599
3,3,squared_error,best,1.36770449180837,6.16113803210182,2.48216398171068,0.121421283257346,0.121421361022267,0.901511528222714,9.96342233175599
3,3,friedman_mse,best,1.36770449180837,6.16113803210182,2.48216398171068,0.121421283257346,0.121421361022267,0.901511528222714,9.96342233175599
3,5,squared_error,best,1.36770449180837,6.16113803210182,2.48216398171068,0.121421283257346,0.121421361022267,0.901511528222714,9.96342233175599
3,5,friedman_mse,best,1.36770449180837,6.16113803210182,2.48216398171068,0.121421283257346,0.121421361022267,0.901511528222714,9.96342233175599
3,10,squared_error,best,1.36770449180837,6.16113803210182,2.48216398171068,0.121421283257346,0.121421361022267,0.901511528222714,9.96342233175599
3,10,friedman_mse,best,1.36770449180837,6.16113803210182,2.48216398171068,0.121421283257346,0.121421361022267,0.901511528222714,9.96342233175599
